key,patterns,unit
potatoes,russet|10 ?lb|bag,per_lb
tomatoes_fresh,tomatoes|roma|vine,per_lb
tomatoes_diced_796ml,diced tomatoes|796 ?ml|aylmer|unico,per_can
ground_beef_lean,lean ground beef|extra lean,per_lb
bread_whole_wheat,whole wheat bread|675 ?g|570 ?g,per_loaf
penne,penne|pasta,per_g
penne_whole_wheat,whole wheat penne|wholegrain penne,per_g
frozen_pizza,pizza|delissio|dr oetker|giuseppe,per_g
sardines,sardines|brunswick|fillets,per_g
fish_fillets,frozen fish fillets|cod|haddock|pollock|sole,per_g
peanut_butter_100,100% peanuts|natural peanut butter|just peanuts,per_g
cheese_block,cheese bar|block|400 ?g|600 ?g|cheddar|mozzarella,per_g
chunky_soup_515,chunky soup|515 ?ml|campbell,per_can
apples,apples|gala|fuji|honeycrisp,per_lb
cabbage,cabbage|green cabbage,per_lb
mens_briefs_large,men'?s briefs|large|L|6 ?pack|5 ?pack,per_pair
